month,year,day,date_description,name,city,country,kind,latitude,longitude,event_date
10,2015,25,October 2015,Lausanne Marathon,Lausanne,Switzerland,M,46.519653,6.632273
10,2015,25,October 2015,Osaka Marathon,Osaka,Japan,M,34.693737,135.502165
10,2015,25,October 2015,Ljubljanski Marathon,Ljubljana,Slovenia,M/H/R,46.056946,14.505751
10,2015,25,October 2015,Podgorica Marathon,Podgorica,Montenegro,M,42.430419,19.259364
10,2015,25,October 2015,Venice Marathon,Venice,Italy,M,45.440847,12.315515
10,2015,25,October 2015,St Denis Half Marathon - La Voie Royale,St Denis,France,H,48.936181,2.357442
10,2015,25,October 2015,Heidelberg Cement Tbilisi Halfmarathon,Tbilisi,Georgia,H/R,41.715137,44.827095
10,2015,25,October 2015,Grand Marathon International De Casablanca,Casablanca,Morocco,M/H/R,33.573110,-7.589843
10,2015,25,October 2015,Jakarta Marathon,Jakarta,Indonesia,M/H/R,-6.208763,106.845598
10,2015,25,October 2015,UWI-SPEC Half Marathon,St Augustine,Trinidad and Tobago,H,10.647341,-61.399777
10,2015,26,October 2015,SSE Airtricity Dublin Marathon,Dublin,Ireland,M,53.349805,-6.260309
10,2015,30,October 2015,Erbil Marathon,Erbil,Iraq,M/H/R,36.206293,44.008869
10,2015,30,October 2015,Niagara Falls International Marathon,Niagara Falls,Canada,M,43.089557,-79.084943
11,2015,29,November 2015,Quito21k Mitad del Mundo,Quito,Ecuador,H/R,-0.180653,-78.467838
11,2015,1,November 2015,ASB Auckland Marathon,Auckland,New Zealand,M/H/R,-36.848459,174.763331
11,2015,1,November 2015,Hangzhou International Marathon,Hangzhou,China,M,30.274085,120.155070
11,2015,1,November 2015,TCS New York City Marathon,New York,USA,M,40.712783,-74.005941
11,2015,7,November 2015,Yi Lan Chiang Wei Shui Memorial Freeway Marathon,Taipei,Taiwan,M/H,25.032969,121.565417
11,2015,7,November 2015,3-Sjoerslopet,Stavanger,Norway,H,58.969975,5.733107
11,2015,8,November 2015,Athens Marathon The Authentic,Athens,Greece,M,37.983917,23.729359
11,2015,8,November 2015,Porto Marathon EDP,Porto,Portugal,M,41.157943,-8.629105
11,2015,8,November 2015,BDL Beirut Marathon,Beirut,Lebanon,M,33.888628,35.495479
11,2015,8,November 2015,Ravenna City of Art International Marathon,Ravenna,Italy,M/H,44.418359,12.203529
11,2015,8,November 2015,Garda Trentino Half Marathon,Garda Trentino,Italy,H,45.604938,10.635141
11,2015,8,November 2015,French Riviera Marathon Nice-Cannes,Nice,France,M,43.710172,7.261953
11,2015,8,November 2015,Big Sur Half Marathon on Monterey Bay,Monterey Bay,USA,H,36.800741,-121.947311
11,2015,8,November 2015,Shanghai International Marathon,Shanghai,China,M,31.230416,121.473701
11,2015,11,November 2015,Volcano Marathon,San Pedro de Atacama,Chile,M/H,-22.908707,-68.199715
11,2015,15,November 2015,Standard Chartered Bangkok Marathon,Bangkok,Thailand,M,13.756330,100.501765
11,2015,15,November 2015,Havana Marabana Marathon & Half,Havana,Cuba,M/H,23.054069,-82.345189
11,2015,15,November 2015,Maraton Valencia Trinidad Alfonso,Valencia,Spain,M,39.469907,-0.376288
11,2015,15,November 2015,Rock'n'Roll Las Vegas Marathon & Half,Las Vegas,USA,M/H,36.169941,-115.139829
11,2015,15,November 2015,Vodafone 37th Istanbul Marathon,Istanbul,Turkey,M/H/R,41.008237,28.978358
11,2015,15,November 2015,Kanazawa Marathon,Kanazawa,Japan,M,36.561325,136.656205
11,2015,15,November 2015,Kobe Marathon,Kobe,Japan,M,34.690083,135.195511
11,2015,15,November 2015,Verona Marathon,Verona,Italy,M/H,45.438384,10.991621
11,2015,15,November 2015,Saitama International Marathon,Saitama,Japan,M,35.861729,139.645482
